Id,Parent,Label
1,0,Fruits
2,0,Drinks
3,0,Clothing
4,0,Animals
5,0,Transport
6,0,Furniture
7,0,Stationary
8,0,Instruments
9,1,Apple
10,1,Banana
11,1,Cheery
12,1,Date
13,1,Orange
14,1,Mango
15,1,Papaya
16,1,Lime
17,2,Coffee
18,2,Tea
19,2,Water
20,2,Soda
21,2,Milk
22,2,Yogurt
23,2,Beer
24,2,Wine
25,3,Hat
26,3,T-Shirt
27,3,Shorts
28,3,Jeans
29,3,Blouse
30,3,Socks
31,3,Jacket
32,3,Skirt
33,4,Cat
34,4,Dog
35,4,Fish
36,4,Pig
37,4,Cow
38,4,Chicken
39,4,Tiger
40,4,Elephant
41,5,Bus
42,5,Taxi
43,5,Train
44,5,Airplane
45,5,Bike
46,5,Truck
47,5,Ferry
48,5,Cruise
49,6,Bed
50,6,Table
51,6,Chair
52,6,Stool
53,6,Sofa
54,6,Couch
55,6,Cabinet
56,6,Drawer
57,7,Pen
58,7,Highlighter
59,7,Eraser
60,7,Pencil
61,7,Ruler
62,7,Glue
63,7,Calculator
64,7,Scissor
65,8,Cello
66,8,Drum
67,8,Flute
68,8,Guitar
69,8,Piano
70,8,Violin
71,8,Trumpet
72,8,Saxophone
